epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8057,2.19263,4.01255,0.00722,0.04922,0.12453,0.03232,0.01693,1.8687,4.08476,0.00526,0.000330303,0.000330303,0.0673
2,82.0728,2.05495,3.26679,0.00568,0.71999,0.05616,0.04587,0.02428,1.73978,3.87547,0.00463,0.000641736,0.000641736,0.0342781
3,119.57,1.97355,2.83481,0.00506,0.44765,0.14167,0.08831,0.04638,1.70095,3.50659,0.00448,0.00093117,0.00093117,0.0012342
4,155.868,1.89533,2.55045,0.00474,0.4683,0.21726,0.1496,0.08735,1.67681,3.13898,0.00446,0.000901,0.000901,0.000901
5,191.446,1.85457,2.36866,0.00453,0.25688,0.25179,0.18814,0.11344,1.62911,2.82061,0.00421,0.000868,0.000868,0.000868
6,225.233,1.8356,2.26321,0.00433,0.2722,0.28722,0.21169,0.13059,1.59846,2.71161,0.00409,0.000835,0.000835,0.000835
7,261.565,1.81368,2.18966,0.00428,0.28562,0.3044,0.22902,0.14195,1.59515,2.66506,0.00408,0.000802,0.000802,0.000802
8,298.699,1.79864,2.13911,0.00426,0.31255,0.31149,0.25067,0.16039,1.58042,2.48549,0.00404,0.000769,0.000769,0.000769
9,334.938,1.7706,2.09701,0.00423,0.32939,0.33362,0.27287,0.17404,1.57762,2.4596,0.00408,0.000736,0.000736,0.000736
10,372.732,1.75625,2.04007,0.00415,0.34624,0.35116,0.29299,0.18894,1.55725,2.35858,0.00404,0.000703,0.000703,0.000703
11,410.42,1.75243,2.00618,0.00415,0.37153,0.37091,0.31133,0.20226,1.55086,2.32098,0.00404,0.00067,0.00067,0.00067
12,447.446,1.75678,1.95593,0.0041,0.3869,0.37041,0.32917,0.21441,1.54064,2.19307,0.00398,0.000637,0.000637,0.000637
13,483.567,1.73892,1.93686,0.00413,0.39711,0.3895,0.33907,0.22204,1.52651,2.15256,0.00397,0.000604,0.000604,0.000604
14,520.017,1.7499,1.88838,0.00402,0.41351,0.39777,0.35441,0.23227,1.51743,2.16045,0.00389,0.000571,0.000571,0.000571
15,558.942,1.72458,1.8773,0.00406,0.41532,0.4181,0.36032,0.23452,1.53218,2.27215,0.00394,0.000538,0.000538,0.000538
16,593.141,1.71705,1.83502,0.00401,0.43563,0.42404,0.37722,0.24902,1.5141,2.10844,0.00393,0.000505,0.000505,0.000505
17,627.297,1.72323,1.82771,0.00398,0.45888,0.42075,0.38867,0.25872,1.49262,1.95651,0.00385,0.000472,0.000472,0.000472
18,661.707,1.72401,1.80328,0.00398,0.45883,0.43147,0.39835,0.26296,1.51902,1.99905,0.00396,0.000439,0.000439,0.000439
19,696.122,1.72071,1.77697,0.00393,0.47321,0.43296,0.408,0.27227,1.47677,1.8914,0.00379,0.000406,0.000406,0.000406
20,730.497,1.71584,1.7658,0.00395,0.47742,0.44291,0.41273,0.27555,1.47273,1.88263,0.0038,0.000373,0.000373,0.000373
21,775.896,1.65633,1.72266,0.00404,0.49244,0.44162,0.42723,0.28224,1.49453,1.9027,0.0039,0.00034,0.00034,0.00034
22,806.439,1.63193,1.68183,0.00397,0.50487,0.44019,0.43386,0.28881,1.48845,1.89013,0.00387,0.000307,0.000307,0.000307
23,840.64,1.62821,1.65515,0.0039,0.51045,0.44198,0.43949,0.29366,1.48465,1.83095,0.00384,0.000274,0.000274,0.000274
24,875.275,1.62532,1.64798,0.00386,0.52231,0.44572,0.44785,0.30197,1.45496,1.79607,0.00376,0.000241,0.000241,0.000241
25,910.637,1.61238,1.62967,0.0039,0.53185,0.44708,0.45192,0.30243,1.46277,1.79522,0.00379,0.000208,0.000208,0.000208
26,944.706,1.61686,1.61993,0.00387,0.52234,0.45515,0.45319,0.30402,1.46294,1.77846,0.00378,0.000175,0.000175,0.000175
27,978.038,1.62335,1.61184,0.00384,0.5327,0.45334,0.45713,0.30699,1.45951,1.76291,0.00375,0.000142,0.000142,0.000142
28,1012.61,1.61165,1.59903,0.00386,0.53063,0.45686,0.46024,0.30855,1.45607,1.75682,0.00376,0.000109,0.000109,0.000109
29,1044.78,1.61297,1.60471,0.00384,0.54178,0.45134,0.45977,0.30822,1.45967,1.75997,0.00375,7.6e-05,7.6e-05,7.6e-05
30,1075.91,1.61074,1.59342,0.00384,0.54006,0.45274,0.46059,0.30987,1.45648,1.74605,0.00374,4.3e-05,4.3e-05,4.3e-05
