epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.673,2.1224,2.31085,0.00661,0.29658,0.31242,0.22857,0.1188,1.891,2.23283,0.00612,0.00332725,0.00332725,0.0700547
2,1172.51,2.02463,1.9022,0.00601,0.42547,0.38763,0.33901,0.18597,1.81799,2.05776,0.00538,0.00639682,0.00639682,0.039791
3,1720.47,1.98876,1.76649,0.00599,0.43373,0.41151,0.37263,0.21148,1.76886,1.76219,0.00556,0.0092024,0.0092024,0.00926323
4,2280.34,1.93495,1.66717,0.00566,0.51076,0.4676,0.43486,0.25476,1.75331,2.21338,0.00565,0.008812,0.008812,0.008812
5,2783.33,1.88981,1.64321,0.00554,0.54045,0.46297,0.46109,0.27147,1.66862,1.86074,0.00519,0.008416,0.008416,0.008416
6,3312.37,1.88565,1.58337,0.0054,0.58248,0.50395,0.51038,0.30074,1.73435,1.46906,0.00516,0.00802,0.00802,0.00802
7,3858.63,1.85136,1.55742,0.00538,0.52538,0.52057,0.504,0.30063,1.69421,1.66755,0.00491,0.007624,0.007624,0.007624
8,4244.79,1.82133,1.49666,0.00509,0.5276,0.53609,0.49324,0.29537,1.71365,1.85833,0.00493,0.007228,0.007228,0.007228
9,4773.61,1.79319,1.4852,0.00505,0.61119,0.54372,0.56827,0.34963,1.58932,1.45638,0.00455,0.006832,0.006832,0.006832
10,5179.9,1.78096,1.4474,0.00492,0.66793,0.54212,0.58954,0.383,1.52205,1.29965,0.00451,0.006436,0.006436,0.006436
11,5563.2,1.77736,1.4256,0.00489,0.62552,0.55799,0.57722,0.3636,1.58597,1.48108,0.00458,0.00604,0.00604,0.00604
12,5934.4,1.74449,1.38002,0.00481,0.6577,0.59532,0.6178,0.3802,1.59699,1.42715,0.00462,0.005644,0.005644,0.005644
13,6315.68,1.73613,1.37776,0.00484,0.64243,0.59146,0.622,0.3966,1.53446,1.49238,0.00438,0.005248,0.005248,0.005248
14,6699.56,1.72033,1.34613,0.00477,0.69946,0.58143,0.63742,0.41756,1.46823,1.20704,0.00415,0.004852,0.004852,0.004852
15,7080.4,1.69879,1.33133,0.00459,0.70894,0.61076,0.66281,0.4232,1.47533,1.19897,0.00422,0.004456,0.004456,0.004456
16,7431.89,1.63994,1.18988,0.00446,0.69452,0.60195,0.6487,0.42858,1.45386,1.13458,0.00403,0.00406,0.00406,0.00406
17,7778.51,1.62777,1.15713,0.00431,0.68482,0.62414,0.65834,0.42562,1.47371,1.38024,0.00401,0.003664,0.003664,0.003664
18,8135.15,1.60765,1.14656,0.00422,0.71183,0.62302,0.67181,0.44498,1.43008,1.09674,0.00409,0.003268,0.003268,0.003268
19,8496.16,1.6007,1.09467,0.0042,0.71183,0.65612,0.69746,0.46668,1.4225,1.07084,0.00387,0.002872,0.002872,0.002872
20,8853.21,1.5617,1.07797,0.004,0.72696,0.63849,0.69221,0.45793,1.451,1.11298,0.00388,0.002476,0.002476,0.002476
21,9199.63,1.54508,1.06144,0.00394,0.72902,0.66087,0.7165,0.47377,1.41778,1.0532,0.00381,0.00208,0.00208,0.00208
22,9543.81,1.5211,1.04424,0.00392,0.75399,0.64411,0.71398,0.48413,1.38021,1.02785,0.00366,0.001684,0.001684,0.001684
23,9887.54,1.5356,1.04314,0.00388,0.72883,0.66963,0.71548,0.4825,1.39119,1.02345,0.00372,0.001288,0.001288,0.001288
24,10226.9,1.5178,1.02513,0.00378,0.74963,0.66572,0.72311,0.49292,1.37191,1.01738,0.00361,0.000892,0.000892,0.000892
25,10566.6,1.50752,1.02076,0.00378,0.75104,0.67044,0.72747,0.49761,1.36728,1.00841,0.00359,0.000496,0.000496,0.000496
