epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8304,2.06291,3.19611,0.00589,0.23335,0.26801,0.1818,0.10731,1.69145,3.15363,0.00472,0.000332117,0.000332117,0.000332117
2,106.174,1.88087,2.16845,0.0048,0.34668,0.35366,0.29207,0.18007,1.6777,2.38678,0.00485,0.00064898,0.00064898,0.00064898
3,155.422,1.82839,1.92497,0.00469,0.41787,0.43387,0.36457,0.23014,1.61345,2.1958,0.00447,0.000949344,0.000949344,0.000949344
4,204.172,1.79624,1.78822,0.00464,0.50056,0.44614,0.43274,0.27979,1.59777,1.82406,0.00453,0.00092575,0.00092575,0.00092575
5,253.624,1.75844,1.66927,0.00447,0.52952,0.49412,0.4897,0.32744,1.52854,1.68379,0.00434,0.000901,0.000901,0.000901
6,303.397,1.74995,1.58748,0.00436,0.60185,0.50516,0.53329,0.35368,1.50209,1.44166,0.00427,0.00087625,0.00087625,0.00087625
7,361.433,1.73473,1.53701,0.0044,0.61833,0.51053,0.55201,0.37385,1.46662,1.38521,0.00407,0.0008515,0.0008515,0.0008515
8,419.176,1.72445,1.48534,0.0043,0.62019,0.54945,0.57564,0.38676,1.48079,1.36669,0.00411,0.00082675,0.00082675,0.00082675
9,476.08,1.71158,1.45028,0.00432,0.64418,0.50906,0.56489,0.38322,1.48501,1.38734,0.00421,0.000802,0.000802,0.000802
10,535.211,1.67542,1.40055,0.00433,0.64316,0.55077,0.6001,0.40576,1.47878,1.26154,0.00409,0.00077725,0.00077725,0.00077725
11,593.075,1.69071,1.38522,0.00437,0.7035,0.5566,0.62197,0.42097,1.45781,1.2171,0.00411,0.0007525,0.0007525,0.0007525
12,650.186,1.6801,1.35466,0.00425,0.67703,0.56691,0.62348,0.41816,1.47954,1.24769,0.00416,0.00072775,0.00072775,0.00072775
13,708.595,1.67073,1.33953,0.00422,0.67522,0.58291,0.63701,0.43549,1.4581,1.22358,0.00391,0.000703,0.000703,0.000703
14,760.08,1.6631,1.31328,0.00415,0.69475,0.5905,0.65459,0.45228,1.4126,1.16843,0.00385,0.00067825,0.00067825,0.00067825
15,812.039,1.65012,1.30237,0.00421,0.69237,0.60811,0.66563,0.45466,1.40088,1.15038,0.00383,0.0006535,0.0006535,0.0006535
16,863.441,1.64726,1.28111,0.00415,0.71994,0.60629,0.67787,0.45521,1.45171,1.13469,0.00403,0.00062875,0.00062875,0.00062875
17,916.775,1.64573,1.28157,0.00415,0.71555,0.60626,0.67238,0.45922,1.40428,1.10877,0.00381,0.000604,0.000604,0.000604
18,969.776,1.63738,1.25365,0.00408,0.68924,0.62075,0.67021,0.45819,1.4148,1.13701,0.00393,0.00057925,0.00057925,0.00057925
19,1021.63,1.64457,1.24982,0.00401,0.71861,0.62471,0.68564,0.47176,1.401,1.1008,0.0038,0.0005545,0.0005545,0.0005545
20,1073.9,1.62258,1.24316,0.00403,0.73824,0.62086,0.69226,0.47723,1.39982,1.09331,0.00397,0.00052975,0.00052975,0.00052975
21,1126.56,1.61583,1.22823,0.00398,0.74271,0.62364,0.69863,0.4846,1.3869,1.06307,0.00381,0.000505,0.000505,0.000505
22,1179.06,1.61994,1.21294,0.00394,0.71624,0.64011,0.70104,0.48626,1.39537,1.0602,0.00386,0.00048025,0.00048025,0.00048025
23,1231.51,1.60517,1.20449,0.00394,0.74401,0.62846,0.70434,0.48213,1.39918,1.05159,0.00383,0.0004555,0.0004555,0.0004555
24,1283.29,1.59804,1.20469,0.00394,0.73387,0.64472,0.70921,0.49252,1.38621,1.03883,0.00373,0.00043075,0.00043075,0.00043075
25,1334.65,1.59266,1.18408,0.0039,0.74221,0.65454,0.71569,0.49354,1.38226,1.04699,0.0038,0.000406,0.000406,0.000406
26,1386.63,1.58543,1.18397,0.0039,0.74659,0.65645,0.72253,0.50157,1.3724,1.01458,0.00376,0.00038125,0.00038125,0.00038125
27,1438.1,1.59327,1.17406,0.00387,0.76619,0.64761,0.72236,0.4963,1.38621,1.03455,0.00379,0.0003565,0.0003565,0.0003565
28,1490.08,1.58805,1.17787,0.00384,0.74636,0.65585,0.7229,0.50327,1.36849,1.02161,0.0038,0.00033175,0.00033175,0.00033175
29,1543.96,1.57572,1.15914,0.0038,0.7544,0.66105,0.72606,0.50495,1.37707,1.02359,0.0038,0.000307,0.000307,0.000307
30,1597.87,1.57607,1.15549,0.00376,0.75942,0.66142,0.72938,0.50933,1.35462,1.01321,0.00371,0.00028225,0.00028225,0.00028225
31,1661.6,1.51805,1.053,0.00381,0.76346,0.65955,0.7271,0.5023,1.38261,1.01584,0.00372,0.0002575,0.0002575,0.0002575
32,1710.13,1.49793,1.03255,0.00373,0.75764,0.66646,0.73083,0.51221,1.3547,1.00581,0.00363,0.00023275,0.00023275,0.00023275
33,1759.37,1.50089,1.02591,0.00365,0.76051,0.6702,0.73336,0.5145,1.35401,1.00136,0.00363,0.000208,0.000208,0.000208
34,1807.48,1.48426,1.01874,0.00367,0.75589,0.68099,0.7376,0.51712,1.34775,0.99356,0.00361,0.00018325,0.00018325,0.00018325
35,1857.52,1.48508,1.01041,0.00363,0.75707,0.67369,0.73523,0.51637,1.35402,0.98258,0.00357,0.0001585,0.0001585,0.0001585
36,1906.43,1.4818,1.01126,0.00361,0.76909,0.67274,0.73922,0.52115,1.33556,0.9726,0.00353,0.00013375,0.00013375,0.00013375
37,1955.16,1.47476,1.00293,0.00359,0.76827,0.67356,0.73906,0.52106,1.33533,0.96952,0.00349,0.000109,0.000109,0.000109
38,2004.1,1.46958,1.00143,0.00359,0.76491,0.67856,0.74291,0.52012,1.34818,0.97362,0.00353,8.425e-05,8.425e-05,8.425e-05
39,2050.97,1.47173,0.99942,0.00355,0.76901,0.67464,0.74547,0.52552,1.32835,0.96358,0.00346,5.95e-05,5.95e-05,5.95e-05
40,2097.36,1.47627,1.0019,0.00357,0.76566,0.68014,0.74573,0.52605,1.32796,0.96267,0.00345,3.475e-05,3.475e-05,3.475e-05
